4 , 06/11/2008 15:54:49:637 , RpDAO , getServiceFeeCount , Registering output parameter for error messages
4 , 06/11/2008 15:54:49:637 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 15:54:49:684 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 15:54:49:684 , RpDAO , getServiceFeeCount , Service Fee Count = 0
4 , 06/11/2008 15:54:49:684 , RpProcessor , isServiceFeeCalculated , Service fee count for CGPAN = CG200204454TC as on Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:684 , RpProcessor , isServiceFeeCalculated , Return value = false
4 , 06/11/2008 15:54:49:684 , RpDAO , calculateServiceFee , Service Fee Rate = 0.0
4 , 06/11/2008 15:54:49:684 , RpDAO , calculateServiceFee , Before calling procedure to get outstanding amount
4 , 06/11/2008 15:54:49:684 , RpDAO , getAmountOutstanding , Entering
4 , 06/11/2008 15:54:49:684 , RpDAO , getAmountOutstanding , CGPAN = CG200204454TC
4 , 06/11/2008 15:54:49:684 , RpDAO , getAmountOutstanding , Before executing outstanding details
4 , 06/11/2008 15:54:49:716 , RpDAO , getAmountOutstanding , After executing outstanding details
4 , 06/11/2008 15:54:49:716 , RpDAO , getAmountOutstanding , Outstanding amount = 47500.0
4 , 06/11/2008 15:54:49:716 , RpDAO , calculateServiceFee , After calling procedure to get outstanding amount
4 , 06/11/2008 15:54:49:716 , RpDAO , calculateServiceFee , Amount Outstanding = 47500.0
4 , 06/11/2008 15:54:49:716 , RpDAO , calculateServiceFee , After getting approved amount
4 , 06/11/2008 15:54:49:716 , RpDAO , calculateServiceFee , After getting approved amount:47500.0
4 , 06/11/2008 15:54:49:716 , RpDAO , getCardRate , card rate :0.5
4 , 06/11/2008 15:54:49:716 , RpDAO , getServiceCardRate , Exited
4 , 06/11/2008 15:54:49:731 , RpDAO , getServiceRateForRSF , Entered
4 , 06/11/2008 15:54:49:731 , RpDAO , getCardRate , card rate :0.0
4 , 06/11/2008 15:54:49:731 , RpDAO , getServiceRateForRSF , Exited
4 , 06/11/2008 15:54:49:731 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:54:49:731 , RpDAO , getGuarStartDate , Exited
4 , 06/11/2008 15:54:49:731 , RpDAO , getGuarStartDate , application.getAppRefNo() :null
4 , 06/11/2008 15:54:49:731 , RpDAO , getGuarStartDate , application.getCgpan() :CG200204454TC
4 , 06/11/2008 15:54:49:731 , RpDAO , updateIdForExcess , Exited
4 , 06/11/2008 15:54:49:731 , RpDAO , calculateServiceFee , Days = 1576
4 , 06/11/2008 15:54:49:731 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:54:49:731 , RpDAO , calculateServiceFee , From Date = Sun Apr 01 15:54:49 IST 2007
4 , 06/11/2008 15:54:49:731 , RpDAO , calculateServiceFee , To Date = Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:731 , RpDAO , calculateAllServiceFee , After calculating service fee for application:CG200204454TC
4 , 06/11/2008 15:54:49:731 , RpDAO , calculateAllServiceFee , Before calculating service fee for application:CG200404967TC
4 , 06/11/2008 15:54:49:731 , AdminDAO , getParameter , Entered
4 , 06/11/2008 15:54:49:731 , AdminDAO , getParameter , Exited
4 , 06/11/2008 15:54:49:731 , RpDAO , calculateServiceFee , Entering
4 , 06/11/2008 15:54:49:731 , RpDAO , calculateServiceFee , application.getScheme() RSF
4 , 06/11/2008 15:54:49:731 , RpDAO , calculateServiceFee , Current Year = 2008
4 , 06/11/2008 15:54:49:731 , RpDAO , calculateServiceFee , Current Month = 10
4 , 06/11/2008 15:54:49:731 , RpDAO , calculateServiceFee , Current Date = 6
4 , 06/11/2008 15:54:49:731 , RpDAO , calculateServiceFee , As On Date = Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:731 , RpDAO , calculateServiceFee , CGPAN = CG200404967TC
4 , 06/11/2008 15:54:49:731 , RpProcessor , isServiceFeeCalculated , Entering
4 , 06/11/2008 15:54:49:731 , RpDAO , getServiceFeeCount , Entering
4 , 06/11/2008 15:54:49:731 , RpDAO , getServiceFeeCount , CGPAN = CG200404967TC
4 , 06/11/2008 15:54:49:731 , RpDAO , getServiceFeeCount , As on date = Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:731 , RpDAO , getServiceFeeCount , Establishing connection
4 , 06/11/2008 15:54:49:731 , RpDAO , getServiceFeeCount , Registering output parameter
4 , 06/11/2008 15:54:49:731 , RpDAO , getServiceFeeCount , setting CGPAN = CG200404967TC
4 , 06/11/2008 15:54:49:731 , RpDAO , getServiceFeeCount , setting as on date = 2008-03-31
4 , 06/11/2008 15:54:49:731 , RpDAO , getServiceFeeCount , Registering output parameter for service fee count
